------- Polar generated by merging lift and drag XLSX tables ----------------
1 InterpOrd
1 NumTabs
139 NumAlf
Alpha Cl Cd
-4.698008968 -0.1953190893 0.01688729551
-4.471649485 -0.1661828737 0.01678407192
-4.162371134 -0.1313497823 0.01664303598
-4.074687717 -0.1214742625 0.01660305092
-3.775773196 -0.087808418 0.01660594317
-3.568193256 -0.06053279554 0.01660795169
-3.466494845 -0.04716981132 0.01655480913
-3.079896907 -0.006531204644 0.01635279216
-3.02279423 -0.001074341503 0.01632295313
-2.654639175 0.03410740203 0.01632651534
-2.477338656 0.05407622681 0.01632823088
-2.345360825 0.06894049347 0.01632950788
-2.074742268 0.1008708273 0.01633212634
-1.970844195 0.1115974111 0.01633313165
-1.765463918 0.1328011611 0.01645281071
-1.464293187 0.1679774103 0.01662830873
-1.417525773 0.1734397678 0.01659972141
-1.030927835 0.2111756168 0.01636340736
-0.9968163852 0.2145906125 0.0163425562
-0.6829896907 0.2460087083 0.01634559275
-0.5292830364 0.2618776004 0.01634707999
-0.3737113402 0.2779390421 0.01634858528
-0.06174968758 0.3117730382 0.01635160378
-0.02577319588 0.3156748911 0.01635195188
0.3608247423 0.3563134978 0.01635569255
0.4057836612 0.3622210171 0.01635612756
0.6701030928 0.3969521045 0.01635868508
0.87331701 0.4179321964 0.01636065135
0.9793814433 0.4288824383 0.01636167761
1.327319588 0.4666182874 0.01636504421
1.418772584 0.4741716766 0.0163659291
1.713917526 0.4985486212 0.01636878488
1.964228157 0.525397892 0.01637120685
1.984536082 0.5275761974 0.01637140335
2.332474227 0.5740203193 0.01637476995
2.509683731 0.5939788933 0.0163764846
2.641752577 0.6088534107 0.01630747196
2.912371134 0.6349782293 0.01616606008
3.055082757 0.6483725471 0.01609148605
3.37628866 0.6785195936 0.01609459399
3.639499443 0.7081642333 0.01609714078
3.762886598 0.7220609579 0.01618189484
4.068128227 0.7564394055 0.01639156389
4.149484536 0.7656023222 0.01648558208
4.536082474 0.8033381713 0.01693234817
4.574735783 0.8076915773 0.01697701728
4.922680412 0.8468795356 0.01719638496
5.042325679 0.8573603143 0.01727181737
5.386597938 0.8875181422 0.0177025393
5.509972122 0.8998694877 0.01785689378
5.850515464 0.9339622642 0.01825043756
6.016579678 0.9495483587 0.01844234717
6.31443299 0.9775036284 0.01892060819
6.562204894 0.9961074985 0.01931845385
6.855670103 1.018142235 0.01963357611
7.107773562 1.045484273 0.01990428421
7.203608247 1.055878084 0.02006992705
7.590206186 1.08490566 0.02073813167
7.614437665 1.086445163 0.02078001391
8.043122996 1.113680904 0.02136471333
8.092783505 1.116835994 0.02148846438
8.510882534 1.148228819 0.02253034236
8.518041237 1.148766328 0.02254818142
8.943298969 1.177793904 0.02360789846
8.978642072 1.179739969 0.02369597138
9.407327403 1.203344278 0.0242806708
9.523195876 1.209724238 0.02454065906
9.797108169 1.222064205 0.02515526955
10.10309278 1.235849057 0.02591776506
10.14792782 1.238093339 0.02602949132
10.53770859 1.257604378 0.02690409007
10.68298969 1.264876633 0.02753636279
11.00563777 1.273961354 0.02894054802
11.30154639 1.282293179 0.03004493021
11.39553163 1.284939497 0.03039569939
11.78542549 1.295917641 0.03185085075
11.92010309 1.299709724 0.03239903091
12.21433701 1.302471281 0.03359665541
12.53865979 1.305515239 0.03520912538
12.56532631 1.305620621 0.03534170611
12.99423783 1.307315604 0.03708751077
13.27319588 1.308417997 0.03864727621
13.30626601 1.308417997 0.03883218448
13.57933308 1.308417997 0.04057648121
13.93041237 1.308417997 0.04240899599
13.96934004 1.307902196 0.0426121852
14.32044243 1.303250007 0.04493778851
14.58762887 1.299709724 0.04736907615
14.67171446 1.29813134 0.04813422075
15.02315613 1.29153437 0.05220148192
15.20618557 1.288098694 0.05492264311
15.29667558 1.285380929 0.05626798912
15.53129047 1.278334537 0.06062439565
15.72688769 1.272459996 0.06469014889
15.78608247 1.270682148 0.06622650638
15.8835238 1.267305371 0.06875552515
16.04027301 1.261873312 0.07340145402
16.11881726 1.259151404 0.07659524739
16.19724841 1.256433415 0.07920848813
16.2757361 1.253713466 0.08211200519
16.28865979 1.253265602 0.08254260846
16.35416726 1.25045497 0.08472524593
16.4327115 1.247084989 0.0879190393
16.47218154 1.245391506 0.09053190306
16.51176467 1.243693171 0.09372531945
16.55129126 1.241997262 0.09662845952
16.59081784 1.240301353 0.09953159959
16.63040098 1.238603018 0.102725016
16.70888868 1.235235463 0.105628533
16.74841526 1.233539554 0.1085316731
16.8270726 1.23016472 0.1123060191
16.82989691 1.230043541 0.1124415425
16.90572994 1.226977596 0.1160803651
16.94548272 1.225370384 0.1201446104
17.06310117 1.220615046 0.1239193333
17.21979383 1.214279929 0.1282749859
17.33247423 1.209724238 0.1321674502
17.33746883 1.209536729 0.1323399852
17.53295296 1.202197799 0.1358251858
17.68953252 1.196319437 0.1396002858
17.84605554 1.190443198 0.1430851094
17.87371134 1.189404935 0.1438538694
18.0027482 1.182622852 0.147440762
18.12019701 1.176449829 0.150344656
18.26030928 1.169085631 0.1529463068
18.27660693 1.168133862 0.153248927
18.47214761 1.156714446 0.1570244039
18.60824742 1.148766328 0.1594508677
18.66763174 1.145199247 0.1605096046
18.82409821 1.135800661 0.1637041519
18.98062123 1.126398678 0.1671889755
18.99484536 1.125544267 0.167421517
19.17604881 1.114659787 0.1703838998
19.33262838 1.105254408 0.1741589998
19.3814433 1.102322206 0.1751556451
19.48909485 1.097607134 0.1773535471
19.60654366 1.092462948 0.1802574412
19.72399247 1.087318762 0.1831613352
19.84536082 1.082002903 0.1851904327
